benchmark,prefetcher,noflags,small_llc,low_bandwidth,scramble_loads,sum,threshold,low_degree,high_degree
GemsFDTD_trace2,pattern_prefetcher8,3.293386,3.293386,3.269228,3.191330,13.0473,100,01,03
lbm_trace2,pattern_prefetcher8,1.215328,1.104772,0.844432,1.172263,4.3368,100,01,03
leslie3d_trace2,pattern_prefetcher8,0.971137,0.890573,0.659198,0.953235,3.47414,100,01,03
libquantum_trace2,pattern_prefetcher8,3.270314,3.270314,3.089789,3.278442,12.9089,100,01,03
mcf_trace2,pattern_prefetcher8,0.338620,0.231271,0.221501,0.341185,1.13258,100,01,03
milc_trace2,pattern_prefetcher8,0.828981,0.815309,0.513997,0.769537,2.92782,100,01,03
omnetpp_trace2,pattern_prefetcher8,2.203988,1.456981,1.787111,2.142665,7.59074,100,01,03
GemsFDTD_trace2,pattern_prefetcher8,3.296822,3.296822,3.272600,3.198512,13.0648,100,04,07
lbm_trace2,pattern_prefetcher8,1.636802,1.447013,0.930540,1.636069,5.65042,100,04,07
leslie3d_trace2,pattern_prefetcher8,0.874463,0.808774,0.602008,0.901072,3.18632,100,04,07
